Entry Time,Exit Time,Direction,Entry,Exit,PnL,Result,DurationHours
2026-05-09 01:00:00,2026-05-09 18:00:00,SHORT,80326.4,80982.44,-656.04,LOSS,16
2026-05-13 02:00:00,2026-05-13 12:00:00,SHORT,81055.0,80331.31,723.69,WIN,9
2026-05-14 04:00:00,2026-05-14 14:00:00,SHORT,79444.8,80229.73,-784.93,LOSS,9
2026-05-14 15:00:00,2026-05-15 05:00:00,SHORT,81300.0,80369.15,930.85,WIN,13
2026-05-15 16:00:00,2026-05-16 07:00:00,SHORT,79297.7,78309.21,988.49,WIN,14
2026-05-16 08:00:00,2026-05-16 10:00:00,SHORT,78424.0,77746.09,677.91,WIN,1
2026-05-16 11:00:00,2026-05-17 23:00:00,SHORT,78088.2,77384.11,704.09,WIN,35
2026-05-18 00:00:00,2026-05-18 14:00:00,SHORT,77206.7,76496.1,710.6,WIN,13
2026-05-18 15:00:00,2026-05-19 00:00:00,SHORT,76413.0,77288.46,-875.46,LOSS,8
2026-05-19 01:00:00,2026-05-20 08:00:00,SHORT,76663.8,77530.75,-866.95,LOSS,30
2026-05-20 09:00:00,2026-05-21 01:00:00,SHORT,77481.9,78141.22,-659.32,LOSS,14
2026-05-21 03:00:00,2026-05-21 10:00:00,SHORT,78078.0,77385.3,692.7,WIN,6
2026-05-21 17:00:00,2026-05-22 14:00:00,SHORT,77874.3,77035.16,839.14,WIN,20
2026-05-22 15:00:00,2026-05-22 18:00:00,SHORT,76795.7,76158.3,637.4,WIN,2
2026-05-22 19:00:00,2026-05-23 07:00:00,SHORT,75869.2,75082.41,786.79,WIN,11
2026-05-23 08:00:00,2026-05-23 14:00:00,SHORT,74680.9,75407.27,-726.37,LOSS,5
2026-05-23 15:00:00,2026-05-23 20:00:00,SHORT,75520.0,76196.81,-676.81,LOSS,4
2026-05-23 21:00:00,2026-05-25 09:00:00,SHORT,76816.5,77686.6,-870.1,LOSS,35
2026-05-25 10:00:00,2026-05-26 00:00:00,SHORT,77549.4,76878.59,670.81,WIN,13
2026-05-26 09:00:00,2026-05-26 11:00:00,SHORT,76675.2,77251.11,-575.91,LOSS,1
2026-05-26 16:00:00,2026-05-27 03:00:00,SHORT,76555.7,75608.61,947.09,WIN,10
2026-05-31 16:00:00,2026-05-31 22:00:00,SHORT,73530.2,73951.68,-421.48,LOSS,5
2026-05-31 23:00:00,2026-06-01 06:00:00,SHORT,73683.6,73167.54,516.06,WIN,6
2026-06-01 10:00:00,2026-06-01 12:00:00,SHORT,72746.3,72075.16,671.14,WIN,1
2026-06-01 13:00:00,2026-06-01 16:00:00,SHORT,71709.2,70894.06,815.14,WIN,2
2026-06-01 17:00:00,2026-06-02 01:00:00,SHORT,71641.8,70736.41,905.39,WIN,7
2026-06-02 02:00:00,2026-06-02 07:00:00,SHORT,70853.2,69896.34,956.86,WIN,4
2026-06-02 08:00:00,2026-06-02 13:00:00,SHORT,69821.5,68881.4,940.1,WIN,4
2026-06-02 14:00:00,2026-06-02 19:00:00,SHORT,68022.9,66992.91,1029.99,WIN,4
2026-06-02 20:00:00,2026-06-02 22:00:00,SHORT,67584.7,66345.9,1238.8,WIN,1
2026-06-02 23:00:00,2026-06-03 03:00:00,SHORT,66754.8,65426.38,1328.42,WIN,3
2026-06-03 04:00:00,2026-06-03 20:00:00,SHORT,66467.4,65100.0,1367.4,WIN,15
2026-06-03 21:00:00,2026-06-03 23:00:00,SHORT,65769.8,64475.34,1294.46,WIN,1
2026-06-04 00:00:00,2026-06-04 02:00:00,SHORT,63341.3,61845.33,1495.97,WIN,1
2026-06-04 03:00:00,2026-06-04 10:00:00,SHORT,64373.0,62511.51,1861.49,WIN,6
2026-06-04 11:00:00,2026-06-04 13:00:00,SHORT,62546.9,64237.54,-1690.64,LOSS,1
2026-06-04 14:00:00,2026-06-05 06:00:00,SHORT,63955.7,62146.8,1808.9,WIN,15
2026-06-05 07:00:00,2026-06-05 13:00:00,SHORT,63113.0,61241.88,1871.12,WIN,5
2026-06-05 14:00:00,2026-06-07 08:00:00,SHORT,60864.6,62722.61,-1858.01,LOSS,41
2026-06-07 09:00:00,2026-06-07 19:00:00,SHORT,62538.4,61446.21,1092.19,WIN,9
2026-06-08 12:00:00,2026-06-09 00:00:00,SHORT,63878.5,62598.11,1280.39,WIN,11
2026-06-09 16:00:00,2026-06-10 15:00:00,SHORT,61394.8,62490.7,-1095.9,LOSS,22
2026-06-10 16:00:00,2026-06-11 17:00:00,SHORT,62227.0,63399.02,-1172.02,LOSS,24
2026-06-11 19:00:00,2026-06-13 21:00:00,SHORT,63612.5,64630.44,-1017.94,LOSS,49
2026-06-19 13:00:00,2026-06-20 14:00:00,SHORT,63205.7,64018.95,-813.25,LOSS,24
2026-06-24 01:00:00,2026-06-24 13:00:00,SHORT,62931.8,62233.51,698.29,WIN,11
2026-06-25 07:00:00,2026-06-25 13:00:00,SHORT,61912.2,60958.45,953.75,WIN,5
2026-06-26 00:00:00,2026-06-26 02:00:00,SHORT,59666.6,58387.3,1279.3,WIN,1
2026-06-26 04:00:00,2026-06-30 12:00:00,SHORT,59920.9,58474.8,1446.1,WIN,103
2026-06-30 13:00:00,2026-07-01 01:00:00,SHORT,58735.6,57936.07,799.53,WIN,11
