Date,ATR,RR,ProfitFactor,WinRate,Trades,Wins,Losses
2026-07-03 02:11:31,1.0,1.5,1.75,52.99,117,62,55
2026-07-03 02:11:31,1.0,2.0,1.82,46.32,95,44,51
2026-07-03 02:11:31,1.0,2.5,1.50,38.16,76,29,47
2026-07-03 02:11:31,1.0,3.0,2.30,42.37,59,25,34
2026-07-03 02:11:31,1.2,1.5,1.72,58.00,100,58,42
2026-07-03 02:11:31,1.2,2.0,1.89,52.50,80,42,38
2026-07-03 02:11:31,1.2,2.5,1.41,41.18,68,28,40
2026-07-03 02:11:31,1.2,3.0,2.07,44.64,56,25,31
2026-07-03 02:11:31,1.4,1.5,2.04,65.22,92,60,32
2026-07-03 02:11:31,1.4,2.0,1.89,55.84,77,43,34
2026-07-03 02:11:31,1.4,2.5,1.59,47.46,59,28,31
2026-07-03 02:11:31,1.4,3.0,2.00,48.00,50,24,26
2026-07-03 02:11:31,1.5,1.5,2.01,66.67,87,58,29
2026-07-03 02:11:31,1.5,2.0,2.55,64.06,64,41,23
2026-07-03 02:11:31,1.5,2.5,1.81,52.73,55,29,26
2026-07-03 02:11:31,1.5,3.0,2.00,50.00,48,24,24
2026-07-03 02:11:31,1.6,1.5,1.72,64.44,90,58,32
2026-07-03 02:11:31,1.6,2.0,2.62,66.13,62,41,21
2026-07-03 02:11:31,1.6,2.5,2.38,59.26,54,32,22
2026-07-03 02:11:31,1.6,3.0,2.06,52.17,46,24,22
2026-07-03 02:11:31,1.8,1.5,2.25,72.00,75,54,21
2026-07-03 02:11:31,1.8,2.0,2.68,69.64,56,39,17
2026-07-03 02:11:31,1.8,2.5,2.24,60.42,48,29,19
2026-07-03 02:11:31,1.8,3.0,2.08,55.81,43,24,19
2026-07-03 02:11:31,2.0,1.5,2.09,72.97,74,54,20
2026-07-03 02:11:31,2.0,2.0,2.44,69.81,53,37,16
2026-07-03 02:11:31,2.0,2.5,2.39,64.44,45,29,16
2026-07-03 02:11:31,2.0,3.0,2.01,58.97,39,23,16
