symbol,direction,result,pnl,entry,stop_loss,take_profit,exit_price,opened_at,closed_at,matched_decision_time,decision,score,confidence,quality,primary_blocker,engine_most_wrong,bad_entry,late_entry,bad_sl_zone,counter_trend,confidence_overestimated,sl_atr,recent_range_position,mfe_pct,mae_pct,reasons,diagnosis
BTC/USDT,SHORT,LOSS,-577.0,60312.5,60698.35652886378,59540.78694227244,60889.5,2026-06-27T14:26:20.413799,2026-06-27T15:12:28.886189,2026-06-27T14:23:26.433221+00:00,SETUP,26.0,66.7,B,,Momentum,False,False,True,False,False,1.5903,64.74,0.0,1.0441,bad SL zone; Momentum disagreement,Momentum was the weakest engine; SHORT SL was inside recent resistance/high zone
ETH/USDT,SHORT,LOSS,0.0,1581.31,1592.6903647678707,1558.5492704642586,0.0,2026-06-27T14:26:22.415892,2026-06-27T14:23:27.983657,2026-06-27T14:23:27.253061+00:00,SETUP,26.0,66.7,B,,Momentum,True,False,True,False,False,1.7277,43.21,0.0,1.1136,bad entry; bad SL zone; Momentum disagreement,Momentum was the weakest engine; SHORT entered away from recent range high; SHORT SL was inside recent resistance/high zone
SOL/USDT,LONG,LOSS,0.0,71.73,70.97062200275049,73.24875599449904,0.0,2026-06-27T14:26:24.618466,2026-06-27T21:54:53.708641,2026-06-27T13:24:00.690573+00:00,WATCH,24.0,63.2,C,,Momentum,False,True,False,False,False,1.4309,14.01,2.0354,1.2826,late entry,Momentum was the weakest engine
ETH/USDT,SHORT,LOSS,-11.73,1578.43,1590.0128843862904,1555.2642312274195,1583.41,2026-06-27T19:27:10.038503,2026-06-28T08:41:08.075663,2026-06-27T19:27:10.034948+00:00,SETUP,26.0,70.3,B,,Risk,True,False,True,False,False,1.2716,17.68,1.0156,1.0675,bad entry; bad SL zone; Momentum disagreement,Risk was the weakest engine; SHORT entered away from recent range high; SHORT SL was inside recent resistance/high zone
BTC/USDT,SHORT,LOSS,-404.2,60091.8,60411.71542295299,59451.969154094026,60496.0,2026-06-27T22:05:01.578303,2026-06-28T08:41:08.075061,2026-06-27T22:05:01.575660+00:00,SETUP,26.0,76.5,B,,Risk,True,False,True,False,True,1.1876,22.38,0.5751,0.766,bad entry; bad SL zone; overestimated confidence; Momentum disagreement,Risk was the weakest engine; SHORT entered away from recent range high; SHORT SL was inside recent resistance/high zone; high confidence despite multiple failed engines
ETH/USDT,SHORT,LOSS,-11.73,1575.51,1586.3556646170232,1553.8186707659536,1583.41,2026-06-28T01:30:16.583295,2026-06-28T08:41:08.075663,2026-06-28T01:30:16.580079+00:00,SETUP,26.0,74.3,B,,Risk,True,False,True,False,False,1.0199,27.01,0.8181,0.6353,bad entry; bad SL zone; Momentum disagreement,Risk was the weakest engine; SHORT entered away from recent range high; SHORT SL was inside recent resistance/high zone
BTC/USDT,SHORT,LOSS,-404.2,60212.8,60508.386839020146,59621.626321959724,60496.0,2026-06-28T04:08:12.162651,2026-06-28T08:41:08.075061,2026-06-28T04:08:12.159903+00:00,SETUP,26.0,81.2,B,,Risk,True,False,True,False,True,1.055,33.42,0.7749,0.5635,bad entry; bad SL zone; overestimated confidence; Momentum disagreement,Risk was the weakest engine; SHORT entered away from recent range high; SHORT SL was inside recent resistance/high zone; high confidence despite multiple failed engines
ETH/USDT,SHORT,LOSS,-11.73,1571.68,1581.4235907116517,1552.1928185766967,1583.41,2026-06-28T07:31:57.404947,2026-06-28T08:41:08.075663,2026-06-28T07:31:57.401661+00:00,SETUP,26.0,70.3,B,,Risk,True,False,True,False,False,1.0184,19.12,0.2545,0.8806,bad entry; bad SL zone; Momentum disagreement,Risk was the weakest engine; SHORT entered away from recent range high; SHORT SL was inside recent resistance/high zone
ETH/USDT,SHORT,LOSS,-12.37,1573.33,1583.5940686292129,1552.8018627415743,1585.7,2026-06-28T21:36:55.672192,2026-06-29T03:10:02.924045,2026-06-28T21:36:55.671712+00:00,SETUP,25.0,100.0,B,,Momentum,False,False,True,False,True,0.9344,51.8,1.6061,1.0424,bad SL zone; overestimated confidence; Momentum disagreement,Momentum was the weakest engine; SHORT SL was inside recent resistance/high zone; very high confidence despite failed engine
BTC/USDT,SHORT,LOSS,-515.8,59297.0,59665.3513029234,58560.297394153204,59812.8,2026-06-28T23:10:42.619477,2026-06-28T23:41:18.223858,2026-06-28T23:10:42.616166+00:00,SETUP,26.0,98.0,B,,Risk,True,False,True,False,True,0.9006,24.59,0.4907,0.9265,bad entry; bad SL zone; overestimated confidence; Momentum disagreement,Risk was the weakest engine; SHORT entered away from recent range high; SHORT SL was inside recent resistance/high zone; very high confidence despite failed engine
