symbol,direction,result,pnl,entry,stop_loss,take_profit,opened_at,closed_at,matched_signal_time,matched_debug_time,signal_age_minutes,score,confidence,primary_blocker,passed_filters,failed_filters,market_regime,volatility_regime,loss_reasons,win_factors
BTC/USDT,SHORT,LOSS,-577.0,60312.5,60698.35652886378,59540.78694227244,2026-06-27T14:26:20.413799,2026-06-27T15:12:28.886189,2026-06-27T14:23:26.428266+00:00,2026-06-27T14:23:26.433221+00:00,2.9,26.0,66.7,Momentum,Trend|Structure|Risk,Momentum,Range,Low Volatility,weak Momentum|low Confidence,
ETH/USDT,SHORT,LOSS,0.0,1581.31,1592.6903647678707,1558.5492704642586,2026-06-27T14:26:22.415892,2026-06-27T14:23:27.983657,2026-06-27T14:23:27.252651+00:00,2026-06-27T14:23:27.253061+00:00,2.92,26.0,66.7,Momentum,Trend|Structure|Risk,Momentum,Range,Normal Volatility,weak Momentum|low Confidence,
SOL/USDT,LONG,LOSS,0.0,71.73,70.97062200275049,73.24875599449904,2026-06-27T14:26:24.618466,2026-06-27T21:54:53.708641,2026-06-27T14:23:27.980942+00:00,2026-06-27T14:23:27.981215+00:00,2.94,22.0,61.1,Risk,Trend|Structure|Momentum,Risk,Range,Normal Volatility,bad Risk|low Confidence,
ETH/USDT,SHORT,LOSS,-11.73,1578.43,1590.0128843862904,1555.2642312274195,2026-06-27T19:27:10.038503,2026-06-28T08:41:08.075663,2026-06-27T19:27:10.034590+00:00,2026-06-27T19:27:10.034948+00:00,0.0,26.0,70.3,Risk,Trend|Structure|Momentum,Risk,Range,Normal Volatility,bad Risk,
BTC/USDT,SHORT,LOSS,-404.2,60091.8,60411.71542295299,59451.969154094026,2026-06-27T22:05:01.578303,2026-06-28T08:41:08.075061,2026-06-27T22:05:01.575278+00:00,2026-06-27T22:05:01.575660+00:00,0.0,26.0,76.5,Risk,Trend|Structure|Momentum,Risk,Range,Low Volatility,bad Risk,
ETH/USDT,SHORT,LOSS,-11.73,1575.51,1586.3556646170232,1553.8186707659536,2026-06-28T01:30:16.583295,2026-06-28T08:41:08.075663,2026-06-28T01:30:16.579809+00:00,2026-06-28T01:30:16.580079+00:00,0.0,26.0,74.3,Risk,Trend|Structure|Momentum,Risk,Range,Normal Volatility,bad Risk,
BTC/USDT,SHORT,LOSS,-404.2,60212.8,60508.386839020146,59621.626321959724,2026-06-28T04:08:12.162651,2026-06-28T08:41:08.075061,2026-06-28T04:08:12.159589+00:00,2026-06-28T04:08:12.159903+00:00,0.0,26.0,81.2,Risk,Trend|Structure|Momentum,Risk,Range,Low Volatility,bad Risk,
ETH/USDT,SHORT,LOSS,-11.73,1571.68,1581.4235907116517,1552.1928185766967,2026-06-28T07:31:57.404947,2026-06-28T08:41:08.075663,2026-06-28T07:31:57.401349+00:00,2026-06-28T07:31:57.401661+00:00,0.0,26.0,70.3,Risk,Trend|Structure|Momentum,Risk,Range,Normal Volatility,bad Risk,
BTC/USDT,SHORT,WIN,600.7,60193.1,60480.81069014031,59617.67861971938,2026-06-28T10:09:24.348272,2026-06-28T18:01:09.997989,2026-06-28T10:09:24.344695+00:00,2026-06-28T10:09:24.344956+00:00,0.0,25.0,89.3,Risk,Trend|Structure|Momentum,Risk,Range,Low Volatility,,strong Trend|good Structure|strong Momentum|high Confidence
ETH/USDT,SHORT,WIN,24.48,1584.09,1593.644230480394,1564.9815390392116,2026-06-28T15:35:30.025277,2026-06-28T19:51:31.262980,2026-06-28T15:35:30.022198+00:00,2026-06-28T15:35:30.022500+00:00,0.0,28.0,80.0,N/A,Trend|Structure|Momentum|Risk,,Range,Normal Volatility,,strong Trend|good Structure|good Risk|strong Momentum|high Confidence
