timestamp,symbol,direction,signal,score,confidence,quality,long_total,short_total,summary
2026-06-25T19:31:26.905727+00:00,SOL/USDT,SHORT,SETUP,26,70.3,,11,26,SHORT wins by 15 points
2026-06-26T00:01:08.191221+00:00,ETH/USDT,SHORT,SETUP,26,74.3,,9,26,SHORT wins by 17 points
2026-06-26T02:13:25.803873+00:00,BTC/USDT,SHORT,SETUP,26,74.3,,9,26,SHORT wins by 17 points
2026-06-26T13:02:25.642167+00:00,BTC/USDT,SHORT,SETUP,26,86.7,,4,26,SHORT wins by 22 points
2026-06-26T13:02:26.530593+00:00,ETH/USDT,SHORT,SETUP,26,74.3,,9,26,SHORT wins by 17 points
2026-06-26T19:11:58.412944+00:00,BTC/USDT,SHORT,SETUP,26,89.7,B,3,26,SHORT wins by 23 points
2026-06-26T20:33:25.730924+00:00,ETH/USDT,SHORT,SETUP,26,81.2,B,6,26,SHORT wins by 20 points
2026-06-27T02:35:20.499124+00:00,ETH/USDT,SHORT,SETUP,25,80.6,B,6,25,SHORT wins by 19 points
2026-06-27T02:40:25.093108+00:00,BTC/USDT,SHORT,SETUP,25,80.6,B,6,25,SHORT wins by 19 points
2026-06-27T03:44:29.991705+00:00,BTC/USDT,SHORT,SETUP,25,80.6,B,6,25,SHORT wins by 19 points
2026-06-27T03:44:30.814697+00:00,ETH/USDT,SHORT,SETUP,25,80.6,B,6,25,SHORT wins by 19 points
2026-06-27T11:26:20.414071+00:00,BTC/USDT,SHORT,HIGH PRIORITY,29,78.4,A,8,29,SHORT wins by 21 points
2026-06-27T11:26:22.416057+00:00,ETH/USDT,SHORT,HIGH PRIORITY,28,80.0,A,7,28,SHORT wins by 21 points
2026-06-27T11:26:24.618584+00:00,SOL/USDT,LONG,SETUP,26,68.4,B,26,12,LONG wins by 14 points
2026-06-27T19:27:10.039111+00:00,ETH/USDT,SHORT,SETUP,26,70.3,B,11,26,SHORT wins by 15 points
2026-06-27T22:05:01.578591+00:00,BTC/USDT,SHORT,SETUP,26,76.5,B,8,26,SHORT wins by 18 points
2026-06-28T01:30:16.583813+00:00,ETH/USDT,SHORT,SETUP,26,74.3,B,9,26,SHORT wins by 17 points
2026-06-28T04:08:12.163143+00:00,BTC/USDT,SHORT,SETUP,26,81.2,B,6,26,SHORT wins by 20 points
2026-06-28T07:31:57.406071+00:00,ETH/USDT,SHORT,SETUP,26,70.3,B,11,26,SHORT wins by 15 points
2026-06-28T10:09:24.348730+00:00,BTC/USDT,SHORT,SETUP,25,89.3,B,3,25,SHORT wins by 22 points
2026-06-28T15:35:30.025535+00:00,ETH/USDT,SHORT,HIGH PRIORITY,28,80.0,A,7,28,SHORT wins by 21 points
2026-06-28T21:36:55.672325+00:00,ETH/USDT,SHORT,SETUP,25,100,B,6,25,SHORT wins by 19 points
2026-06-28T23:10:42.619712+00:00,BTC/USDT,SHORT,SETUP,26,98,B,10,26,SHORT wins by 16 points
2026-06-29T03:40:36.306424+00:00,ETH/USDT,SHORT,SETUP,26,100,B,9,26,SHORT wins by 17 points
2026-06-29T05:47:02.594600+00:00,BTC/USDT,SHORT,HIGH PRIORITY,27,100,A,9,27,SHORT wins by 18 points
2026-06-29T15:56:52.345139+00:00,ETH/USDT,SHORT,SETUP,26,100,B,7,26,SHORT wins by 19 points
2026-06-30T08:58:08.989342+00:00,BTC/USDT,SHORT,SETUP,26,95,B,11,26,SHORT wins by 15 points
2026-06-30T14:59:39.773652+00:00,BTC/USDT,SHORT,HIGH PRIORITY,29,100,A,12,29,SHORT wins by 17 points
2026-07-01T03:01:58.877185+00:00,BTC/USDT,SHORT,HIGH PRIORITY,30,100,A,6,30,SHORT wins by 24 points
2026-07-01T15:24:02.822070+00:00,BTC/USDT,SHORT,SETUP,26,95,B,11,26,SHORT wins by 15 points
2026-07-02T15:34:55.568004+00:00,BNB/USDT,SHORT,SETUP,26,98,B,10,26,SHORT wins by 16 points
2026-07-08T22:19:51.014819+00:00,AVAX/USDT,SHORT,HIGH PRIORITY,27,100,A,9,27,SHORT wins by 18 points
2026-07-09T07:06:34.103679+00:00,XRP/USDT,SHORT,HIGH PRIORITY,27,100,A,7,27,SHORT wins by 20 points
2026-07-09T07:06:42.601682+00:00,DOGE/USDT,SHORT,HIGH PRIORITY,27,100,A,8,27,SHORT wins by 19 points
2026-07-10T09:43:35.517358+00:00,SOL/USDT,LONG,HIGH PRIORITY,29,100,A,29,5,LONG wins by 24 points
2026-07-10T09:43:39.768994+00:00,ADA/USDT,SHORT,SETUP,25,100,B,8,25,SHORT wins by 17 points
2026-07-10T15:46:03.005670+00:00,SOL/USDT,LONG,SETUP,25,100,B,25,2,LONG wins by 23 points
