timestamp,symbol,direction,signal,score,confidence,quality,trend_long,trend_short,structure_long,structure_short,momentum_long,momentum_short,risk_long,risk_short,long_total,short_total,summary
2026-06-25T08:53:34.632898+00:00,BTC/USDT,SHORT,NO TRADE,27,69.2,E,14,46,12,12,14,11,5,20,12,27,SHORT wins by 15 points
2026-06-25T08:53:35.392555+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T08:53:36.317338+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T08:54:07.109487+00:00,BTC/USDT,SHORT,NO TRADE,27,69.2,E,14,46,12,12,14,11,5,20,12,27,SHORT wins by 15 points
2026-06-25T08:54:07.983464+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T08:54:08.931419+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T08:54:39.693753+00:00,BTC/USDT,SHORT,NO TRADE,27,69.2,E,14,46,12,12,14,11,5,20,12,27,SHORT wins by 15 points
2026-06-25T08:54:40.771574+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T08:54:41.607813+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T08:55:12.472909+00:00,BTC/USDT,SHORT,NO TRADE,27,69.2,E,14,46,12,12,14,11,5,20,12,27,SHORT wins by 15 points
2026-06-25T08:55:13.330921+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T08:55:14.167955+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T08:55:44.926748+00:00,BTC/USDT,SHORT,NO TRADE,27,69.2,E,14,46,12,12,14,11,5,20,12,27,SHORT wins by 15 points
2026-06-25T08:55:45.805725+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T08:55:46.680410+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T08:56:13.087280+00:00,BTC/USDT,SHORT,NO TRADE,27,69.2,E,14,46,12,12,14,11,5,20,12,27,SHORT wins by 15 points
2026-06-25T08:56:14.593495+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T08:56:15.795602+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T08:56:46.547555+00:00,BTC/USDT,SHORT,NO TRADE,27,69.2,E,14,46,12,12,14,11,5,20,12,27,SHORT wins by 15 points
2026-06-25T08:56:48.542027+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T08:56:49.394655+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T08:58:27.941768+00:00,BTC/USDT,SHORT,NO TRADE,27,69.2,E,14,46,12,12,14,11,5,20,12,27,SHORT wins by 15 points
2026-06-25T08:58:28.971535+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T08:58:30.068076+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T08:59:01.392730+00:00,BTC/USDT,SHORT,NO TRADE,27,69.2,E,14,46,12,12,14,11,5,20,12,27,SHORT wins by 15 points
2026-06-25T08:59:02.735075+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T08:59:04.287756+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
