symbol,direction,result,pnl,decision,score,confidence,trend,local_trend,entry_quality,sl_quality,baseline_signal,baseline_prevented,block_sl_quality_D_signal,block_sl_quality_D_prevented,block_sl_quality_D_E_signal,block_sl_quality_D_E_prevented,downgrade_sl_quality_D_signal,downgrade_sl_quality_D_prevented,block_short_sl_quality_D_signal,block_short_sl_quality_D_prevented
BTC/USDT,SHORT,LOSS,-577.0,SETUP,26.0,66.7,PASS,BEARISH,B,D,SETUP,False,NO TRADE,True,NO TRADE,True,WATCH,True,NO TRADE,True
ETH/USDT,SHORT,LOSS,-11.38036477,SETUP,26.0,66.7,PASS,BEARISH,D,D,SETUP,False,NO TRADE,True,NO TRADE,True,WATCH,True,NO TRADE,True
SOL/USDT,LONG,LOSS,-0.759378,,0.0,0.0,UNKNOWN,UNKNOWN,D,B,,False,,False,,False,,False,,False
ETH/USDT,SHORT,LOSS,-11.73,SETUP,26.0,70.3,PASS,BEARISH,D,D,SETUP,False,NO TRADE,True,NO TRADE,True,WATCH,True,NO TRADE,True
BTC/USDT,SHORT,LOSS,-404.2,SETUP,26.0,76.5,PASS,BEARISH,D,D,SETUP,False,NO TRADE,True,NO TRADE,True,WATCH,True,NO TRADE,True
ETH/USDT,SHORT,LOSS,-11.73,SETUP,26.0,74.3,PASS,BEARISH,D,D,SETUP,False,NO TRADE,True,NO TRADE,True,WATCH,True,NO TRADE,True
BTC/USDT,SHORT,LOSS,-404.2,SETUP,26.0,81.2,PASS,BEARISH,D,D,SETUP,False,NO TRADE,True,NO TRADE,True,WATCH,True,NO TRADE,True
ETH/USDT,SHORT,LOSS,-11.73,SETUP,26.0,70.3,PASS,BEARISH,D,D,SETUP,False,NO TRADE,True,NO TRADE,True,WATCH,True,NO TRADE,True
BTC/USDT,SHORT,WIN,600.7,SETUP,25.0,89.3,PASS,BEARISH,B,B,SETUP,False,SETUP,False,SETUP,False,SETUP,False,SETUP,False
ETH/USDT,SHORT,WIN,24.48,HIGH PRIORITY,28.0,80.0,PASS,BEARISH,B,B,HIGH PRIORITY,False,HIGH PRIORITY,False,HIGH PRIORITY,False,HIGH PRIORITY,False,HIGH PRIORITY,False
ETH/USDT,SHORT,LOSS,-12.37,SETUP,25.0,100.0,PASS,BEARISH,B,D,SETUP,False,NO TRADE,True,NO TRADE,True,WATCH,True,NO TRADE,True
BTC/USDT,SHORT,LOSS,-515.8,SETUP,26.0,98.0,PASS,BEARISH,D,D,SETUP,False,NO TRADE,True,NO TRADE,True,WATCH,True,NO TRADE,True
ETH/USDT,SHORT,LOSS,-15.11,SETUP,26.0,100.0,PASS,BEARISH,B,D,SETUP,False,NO TRADE,True,NO TRADE,True,WATCH,True,NO TRADE,True
BTC/USDT,SHORT,LOSS,-560.8,HIGH PRIORITY,27.0,100.0,PASS,BEARISH,B,D,HIGH PRIORITY,False,NO TRADE,True,NO TRADE,True,SETUP,False,NO TRADE,True
ETH/USDT,SHORT,LOSS,-35.06,SETUP,26.0,100.0,PASS,BEARISH,B,D,SETUP,False,NO TRADE,True,NO TRADE,True,WATCH,True,NO TRADE,True
BTC/USDT,SHORT,WIN,829.7,SETUP,26.0,95.0,PASS,BEARISH,B,B,SETUP,False,SETUP,False,SETUP,False,SETUP,False,SETUP,False
BTC/USDT,SHORT,LOSS,-439.0,HIGH PRIORITY,29.0,100.0,PASS,BEARISH,D,D,HIGH PRIORITY,False,NO TRADE,True,NO TRADE,True,SETUP,False,NO TRADE,True
BTC/USDT,SHORT,LOSS,-761.0,HIGH PRIORITY,30.0,100.0,PASS,BEARISH,B,D,HIGH PRIORITY,False,NO TRADE,True,NO TRADE,True,SETUP,False,NO TRADE,True
BTC/USDT,SHORT,LOSS,-730.0,SETUP,26.0,95.0,PASS,BEARISH,B,B,SETUP,False,SETUP,False,SETUP,False,SETUP,False,SETUP,False
BNB/USDT,SHORT,LOSS,-4.9,SETUP,26.0,98.0,PASS,BULLISH,D,B,SETUP,False,SETUP,False,SETUP,False,SETUP,False,SETUP,False
