symbol,direction,result,pnl,opened_at,closed_at,decision_time,decision,quality,score,confidence,weighted_score,potential_score,lost_score,rr,atr,signal_age_minutes,stop_size,primary_blocker,loss_reasons,trend_status,structure_status,momentum_status,risk_status,confidence_bin,score_bin,factors
BTC/USDT,SHORT,LOSS,-577.0,2026-06-27T14:26:20.413799,2026-06-27T15:12:28.886189,2026-06-27T14:23:26.433221+00:00,SETUP,B,26.0,66.7,26.0,26.0,0.0,2.0,242.63571429,2.9,385.85652886,,bad SL zone; Momentum disagreement,PASS,PASS,FAIL,PASS,60-70,25-30,symbol=BTC/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=60-70; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=PASS; loss_reason=bad SL zone; loss_reason=Momentum disagreement
ETH/USDT,SHORT,LOSS,-11.38036477,2026-06-27T14:26:22.415892,2026-06-27T14:23:27.983657,2026-06-27T14:23:27.253061+00:00,SETUP,B,26.0,66.7,26.0,26.0,0.0,2.0,6.58714286,2.92,11.38036477,,bad entry; bad SL zone; Momentum disagreement,PASS,PASS,FAIL,PASS,60-70,25-30,symbol=ETH/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=60-70; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=PASS; loss_reason=bad entry; loss_reason=bad SL zone; loss_reason=Momentum disagreement
SOL/USDT,LONG,LOSS,-0.759378,2026-06-27T14:26:24.618466,2026-06-27T21:54:53.708641,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.53071429,0.0,0.759378,,late entry,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,symbol=SOL/USDT; direction=LONG; signal=LOSS; quality=UNKNOWN; score_bin=N/A; confidence_bin=N/A; Trend=UNKNOWN; Structure=UNKNOWN; Momentum=UNKNOWN; Risk=UNKNOWN; loss_reason=late entry
ETH/USDT,SHORT,LOSS,-11.73,2026-06-27T19:27:10.038503,2026-06-28T08:41:08.075663,2026-06-27T19:27:10.034948+00:00,SETUP,B,26.0,70.3,26.0,26.0,0.0,2.0,9.10857143,0.0,11.58288439,,bad entry; bad SL zone; Momentum disagreement,PASS,FAIL,FAIL,FAIL,70-80,25-30,symbol=ETH/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=70-80; Trend=PASS; Structure=FAIL; Momentum=FAIL; Risk=FAIL; loss_reason=bad entry; loss_reason=bad SL zone; loss_reason=Momentum disagreement
BTC/USDT,SHORT,LOSS,-404.2,2026-06-27T22:05:01.578303,2026-06-28T08:41:08.075061,2026-06-27T22:05:01.575660+00:00,SETUP,B,26.0,76.5,26.0,26.0,0.0,2.0,269.37142857,0.0,319.91542295,,bad entry; bad SL zone; overestimated confidence; Momentum disagreement,PASS,PASS,FAIL,FAIL,70-80,25-30,symbol=BTC/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=70-80; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=FAIL; loss_reason=bad entry; loss_reason=bad SL zone; loss_reason=overestimated confidence; loss_reason=Momentum disagreement
ETH/USDT,SHORT,LOSS,-11.73,2026-06-28T01:30:16.583295,2026-06-28T08:41:08.075663,2026-06-28T01:30:16.580079+00:00,SETUP,B,26.0,74.3,26.0,26.0,0.0,2.0,10.63428571,0.0,10.84566462,,bad entry; bad SL zone; Momentum disagreement,PASS,PASS,FAIL,FAIL,70-80,25-30,symbol=ETH/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=70-80; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=FAIL; loss_reason=bad entry; loss_reason=bad SL zone; loss_reason=Momentum disagreement
BTC/USDT,SHORT,LOSS,-404.2,2026-06-28T04:08:12.162651,2026-06-28T08:41:08.075061,2026-06-28T04:08:12.159903+00:00,SETUP,B,26.0,81.2,26.0,26.0,0.0,2.0,280.18571429,0.0,295.58683902,,bad entry; bad SL zone; overestimated confidence; Momentum disagreement,PASS,PASS,FAIL,FAIL,80-90,25-30,symbol=BTC/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=80-90; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=FAIL; loss_reason=bad entry; loss_reason=bad SL zone; loss_reason=overestimated confidence; loss_reason=Momentum disagreement
ETH/USDT,SHORT,LOSS,-11.73,2026-06-28T07:31:57.404947,2026-06-28T08:41:08.075663,2026-06-28T07:31:57.401661+00:00,SETUP,B,26.0,70.3,26.0,26.0,0.0,2.0,9.56785714,0.0,9.74359071,,bad entry; bad SL zone; Momentum disagreement,PASS,FAIL,FAIL,FAIL,70-80,25-30,symbol=ETH/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=70-80; Trend=PASS; Structure=FAIL; Momentum=FAIL; Risk=FAIL; loss_reason=bad entry; loss_reason=bad SL zone; loss_reason=Momentum disagreement
BTC/USDT,SHORT,WIN,600.7,2026-06-28T10:09:24.348272,2026-06-28T18:01:09.997989,2026-06-28T10:09:24.344956+00:00,SETUP,B,25.0,89.3,25.0,25.0,0.0,2.0,280.67857143,0.0,287.71069014,,,PASS,PASS,FAIL,FAIL,80-90,25-30,symbol=BTC/USDT; direction=SHORT; signal=SETUP; quality=B; score_bin=25-30; confidence_bin=80-90; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=FAIL
ETH/USDT,SHORT,WIN,24.48,2026-06-28T15:35:30.025277,2026-06-28T19:51:31.262980,2026-06-28T15:35:30.022500+00:00,HIGH PRIORITY,A,28.0,80.0,28.0,28.0,0.0,2.0,8.77357143,0.0,9.55423048,,,PASS,PASS,FAIL,PASS,80-90,25-30,symbol=ETH/USDT; direction=SHORT; signal=HIGH PRIORITY; quality=A; score_bin=25-30; confidence_bin=80-90; Trend=PASS; Structure=PASS; Momentum=FAIL; Risk=PASS
