symbol,direction,entry,exit,stop_loss,take_profit,opened_at,closed_at,duration,raw_pnl,pnl_percent,pnl_r,metrics_status,incomplete_reasons,atr,confidence,weighted_score,directional_edge,trend,status,quality,score,entry_timing,max_profit_before_sl_R,max_drawdown_R,false_breakout,immediate_reversal,late_entry,pre_entry_move_atr,strong_pullback_before_entry,consecutive_direction_candles,tp_after_1h,tp_after_2h,tp_after_4h,tp_after_8h,tp_after_24h,patterns,loss_notes
BTC/USDT,SHORT,60312.5,60889.5,60698.35652886378,59540.78694227244,2026-06-27T14:26:20.413799,2026-06-27T15:12:28.886189,46м,-577.0,-0.95668394,-1.49537446,COMPLETE,,242.6357,66.7,26.0,13.0,SHORT,SETUP,B,26.0,до импульса,0.0,-1.632,False,True,False,0.5811,False,0,False,False,False,False,False,SHORT | symbol=BTC/USDT | quality_B | score_ge_25 | momentum_fail | immediate_reversal,Вход: до импульса. | Сделка почти не дала favorable movement до SL. | Просадка быстро дошла до -1.63R. | После входа был быстрый разворот против сделки.
ETH/USDT,SHORT,1581.31,0.0,1592.6903647678707,1558.5492704642586,2026-06-27T14:26:22.415892,2026-06-27T14:23:27.983657,,,,,INCOMPLETE,exit_price отсутствует или некорректен,0.0,66.7,26.0,13.0,SHORT,SETUP,B,26.0,Недостаточно OHLCV,0.0,0.0,False,False,False,0.0,False,0,,,,,,SHORT | symbol=ETH/USDT | quality_B | score_ge_25 | momentum_fail | ohlcv_missing,Некорректное время сделки: closed_at раньше opened_at.
SOL/USDT,LONG,71.73,0.0,70.97062200275049,73.24875599449904,2026-06-27T14:26:24.618466,2026-06-27T21:54:53.708641,7ч 28м,,,,INCOMPLETE,exit_price отсутствует или некорректен,0.5307,61.1,22.0,8.0,LONG,NO TRADE,E,22.0,во время импульса,1.9226,-1.2115,False,False,False,-0.5464,False,2,False,False,False,False,False,LONG | symbol=SOL/USDT | quality_E | risk_fail,Вход: во время импульса. | До SL была прибыль 1.92R. | Просадка быстро дошла до -1.21R.
ETH/USDT,SHORT,1578.43,1583.41,1590.0128843862904,1555.2642312274195,2026-06-27T19:27:10.038503,2026-06-28T08:41:08.075663,13ч 13м,-11.73,-0.31550338,-0.42994472,COMPLETE,,9.1086,70.3,26.0,15.0,SHORT,SETUP,B,26.0,во время импульса,1.3839,-1.4547,True,False,False,1.5096,False,0,False,False,False,False,True,SHORT | symbol=ETH/USDT | quality_B | score_ge_25 | momentum_fail | structure_fail | risk_fail | false_breakout,Вход: во время импульса. | До SL была прибыль 1.38R. | Просадка быстро дошла до -1.45R. | Есть признаки ложного пробоя.
BTC/USDT,SHORT,60091.8,60496.0,60411.71542295299,59451.969154094026,2026-06-27T22:05:01.578303,2026-06-28T08:41:08.075061,10ч 36м,-404.2,-0.67263753,-1.26345894,COMPLETE,,269.3714,76.5,26.0,18.0,SHORT,SETUP,B,26.0,до импульса,1.0803,-1.4388,True,False,False,2.6684,False,1,False,False,False,False,True,SHORT | symbol=BTC/USDT | quality_B | score_ge_25 | momentum_fail | risk_fail | false_breakout,Вход: до импульса. | До SL была прибыль 1.08R. | Просадка быстро дошла до -1.44R. | Есть признаки ложного пробоя.
ETH/USDT,SHORT,1575.51,1583.41,1586.3556646170232,1553.8186707659536,2026-06-28T01:30:16.583295,2026-06-28T08:41:08.075663,7ч 10м,-11.73,-0.50142494,-0.72840165,COMPLETE,,10.6343,74.3,26.0,17.0,SHORT,SETUP,B,26.0,до импульса,1.1885,-0.9229,False,False,False,0.2595,False,0,False,False,False,False,True,SHORT | symbol=ETH/USDT | quality_B | score_ge_25 | momentum_fail | risk_fail,Вход: до импульса. | До SL была прибыль 1.19R. | Просадка быстро дошла до -0.92R.
BTC/USDT,SHORT,60212.8,60496.0,60508.386839020146,59621.626321959724,2026-06-28T04:08:12.162651,2026-06-28T08:41:08.075061,4ч 32м,-404.2,-0.47033189,-0.95809408,COMPLETE,,280.1857,81.2,26.0,20.0,SHORT,SETUP,B,26.0,до импульса,1.5786,-1.1479,True,False,False,0.051,False,0,False,False,False,True,True,SHORT | symbol=BTC/USDT | quality_B | edge_gt_18 | score_ge_25 | momentum_fail | risk_fail | false_breakout,Вход: до импульса. | До SL была прибыль 1.58R. | Просадка быстро дошла до -1.15R. | Есть признаки ложного пробоя.
ETH/USDT,SHORT,1571.68,1583.41,1581.4235907116517,1552.1928185766967,2026-06-28T07:31:57.404947,2026-06-28T08:41:08.075663,1ч 9м,-11.73,-0.74633513,-1.2038683,COMPLETE,,9.5679,70.3,26.0,15.0,SHORT,SETUP,B,26.0,до импульса,0.4105,-1.4204,False,False,False,0.3731,False,3,False,False,False,False,True,SHORT | symbol=ETH/USDT | quality_B | score_ge_25 | momentum_fail | structure_fail | risk_fail,Вход: до импульса. | Сделка почти не дала favorable movement до SL. | Просадка быстро дошла до -1.42R.
ETH/USDT,SHORT,1573.33,1585.7,1583.5940686292129,1552.8018627415743,2026-06-28T21:36:55.672192,2026-06-29T03:10:02.924045,5ч 33м,-12.37,-0.78623048,-1.20517511,COMPLETE,,10.9843,100.0,25.0,19.0,SHORT,SETUP,B,25.0,во время импульса,2.462,-1.5978,True,False,False,0.6901,False,0,False,False,False,False,False,SHORT | symbol=ETH/USDT | quality_B | confidence_ge_95 | edge_gt_18 | score_ge_25 | momentum_fail | risk_fail | false_breakout,Вход: во время импульса. | До SL была прибыль 2.46R. | Просадка быстро дошла до -1.60R. | Есть признаки ложного пробоя.
BTC/USDT,SHORT,59297.0,59812.8,59665.3513029234,58560.297394153204,2026-06-28T23:10:42.619477,2026-06-28T23:41:18.223858,30м,-515.8,-0.86985851,-1.40029368,COMPLETE,,409.0143,98.0,26.0,16.0,SHORT,SETUP,B,26.0,до импульса,0.79,-1.4915,False,False,False,0.6931,False,2,False,False,False,False,False,SHORT | symbol=BTC/USDT | quality_B | confidence_ge_95 | score_ge_25 | momentum_fail | risk_fail,Вход: до импульса. | До SL была умеренная прибыль 0.79R. | Просадка быстро дошла до -1.49R.
ETH/USDT,SHORT,1579.36,1594.47,1594.4596553116535,1549.1606893766927,2026-06-29T03:40:36.306185,2026-06-29T12:19:37.386264,8ч 39м,-15.11,-0.95671664,-1.00068509,COMPLETE,,16.8514,100.0,26.0,17.0,SHORT,SETUP,B,26.0,до импульса,1.1345,-1.1755,False,False,False,-0.9323,False,0,False,False,False,False,False,SHORT | symbol=ETH/USDT | quality_B | confidence_ge_95 | score_ge_25 | momentum_fail | structure_fail,Вход: до импульса. | До SL была прибыль 1.13R. | Просадка быстро дошла до -1.18R.
BTC/USDT,SHORT,59947.2,60508.0,60411.43073029587,59018.73853940825,2026-06-29T05:47:02.594428,2026-06-29T12:09:26.529917,6ч 22м,-560.8,-0.9354899,-1.20801999,COMPLETE,,550.4357,100.0,27.0,18.0,SHORT,HIGH PRIORITY,A,27.0,до импульса,1.2108,-1.8353,False,False,False,-0.676,False,1,False,True,True,True,True,SHORT | symbol=BTC/USDT | quality_A | confidence_ge_95 | score_ge_25 | momentum_fail,Вход: до импульса. | До SL была прибыль 1.21R. | Просадка быстро дошла до -1.84R.
ETH/USDT,SHORT,1580.49,1615.55,1596.9392721366853,1547.5914557266294,2026-06-29T15:56:52.344739,2026-06-29T17:13:19.049773,1ч 16м,-35.06,-2.21829939,-2.1314013,COMPLETE,,16.845,100.0,26.0,19.0,SHORT,SETUP,B,26.0,до импульса,1.152,-3.4707,False,False,False,-0.2553,False,2,False,False,False,False,False,SHORT | symbol=ETH/USDT | quality_B | confidence_ge_95 | edge_gt_18 | score_ge_25 | momentum_fail,Вход: до импульса. | До SL была прибыль 1.15R. | Просадка быстро дошла до -3.47R.
BTC/USDT,SHORT,58536.8,58975.8,58968.40342098995,57673.593158020114,2026-06-30T14:59:39.773334,2026-07-01T01:45:47.918332,10ч 46м,-439.0,-0.74995558,-1.01713744,COMPLETE,,371.8357,100.0,29.0,17.0,SHORT,HIGH PRIORITY,A,29.0,до импульса,1.702,-1.7136,True,False,False,2.0762,False,0,False,False,False,False,False,SHORT | symbol=BTC/USDT | quality_A | confidence_ge_95 | score_ge_25 | momentum_fail | structure_fail | risk_fail | false_breakout,Вход: до импульса. | До SL была прибыль 1.70R. | Просадка быстро дошла до -1.71R. | Есть признаки ложного пробоя.
BTC/USDT,SHORT,59032.6,59793.6,59442.08331402172,58213.633371956545,2026-07-01T03:01:58.877010,2026-07-01T14:12:54.424314,11ч 10м,-761.0,-1.28911822,-1.85843958,COMPLETE,,451.2071,100.0,30.0,24.0,SHORT,HIGH PRIORITY,A,30.0,до импульса,1.7319,-2.5996,False,False,False,-0.8639,True,0,False,False,False,False,False,SHORT | symbol=BTC/USDT | quality_A | confidence_ge_95 | edge_gt_18 | score_ge_25 | strong_pullback_before_entry,Вход: до импульса. | До SL была прибыль 1.73R. | Просадка быстро дошла до -2.60R. | Перед входом был сильный откат против направления.
BTC/USDT,SHORT,60492.7,61222.7,60994.629861761845,59488.840276476294,2026-07-01T15:24:02.821700,2026-07-01T22:21:37.322014,6ч 57м,-730.0,-1.20675718,-1.45438647,COMPLETE,,499.9643,95.0,26.0,15.0,SHORT,SETUP,B,26.0,до импульса,1.9413,-1.6953,False,False,False,-3.0954,True,0,False,False,False,False,False,SHORT | symbol=BTC/USDT | quality_B | confidence_ge_95 | score_ge_25 | momentum_fail | strong_pullback_before_entry,Вход: до импульса. | До SL была прибыль 1.94R. | Просадка быстро дошла до -1.70R. | Перед входом был сильный откат против направления.
BNB/USDT,SHORT,563.3,568.2,567.4147183769353,555.0705632461293,2026-07-02T15:34:55.567557,2026-07-03T15:09:00.592930,23ч 34м,-4.9,-0.86987396,-1.19084699,COMPLETE,,4.0714,98.0,26.0,16.0,SHORT,SETUP,B,26.0,до импульса,1.6769,-1.0936,False,False,False,-2.1614,False,1,нет данных,нет данных,нет данных,нет данных,нет данных,SHORT | symbol=BNB/USDT | quality_B | confidence_ge_95 | score_ge_25 | momentum_fail,Вход: до импульса. | До SL была прибыль 1.68R. | Просадка быстро дошла до -1.09R.
AVAX/USDT,SHORT,6.458,6.765,6.517189795062954,6.339620409874093,2026-07-08T22:19:51.014350,2026-07-09T07:06:47.618476,8ч 46м,-0.31,-4.75379374,-5.1867049,COMPLETE,,0.0,100.0,27.0,18.0,SHORT,HIGH PRIORITY,A,27.0,Недостаточно OHLCV,0.0,0.0,False,False,False,0.0,False,0,,,,,,SHORT | symbol=AVAX/USDT | quality_A | confidence_ge_95 | score_ge_25 | momentum_fail | ohlcv_missing,OHLCV cache старше времени входа; свечной анализ пропущен.
XRP/USDT,SHORT,1.098,1.1165,1.1060973403575145,1.081805319284971,2026-07-09T07:06:34.103329,2026-07-10T09:43:43.452410,1д 2ч 37м,-0.02,-1.6848816,-2.2847008,COMPLETE,,0.0,100.0,27.0,20.0,SHORT,HIGH PRIORITY,A,27.0,Недостаточно OHLCV,0.0,0.0,False,False,False,0.0,False,0,,,,,,SHORT | symbol=XRP/USDT | quality_A | confidence_ge_95 | edge_gt_18 | score_ge_25 | momentum_fail | ohlcv_missing,OHLCV cache старше времени входа; свечной анализ пропущен.
DOGE/USDT,SHORT,0.07293,0.07357,0.07347486129532246,0.07184027740935507,2026-07-09T07:06:42.601509,2026-07-09T21:06:38.382919,13ч 59м,-0.0,-0.87755382,-1.17461087,COMPLETE,,0.0,100.0,27.0,19.0,SHORT,HIGH PRIORITY,A,27.0,Недостаточно OHLCV,0.0,0.0,False,False,False,0.0,False,0,,,,,,SHORT | symbol=DOGE/USDT | quality_A | confidence_ge_95 | edge_gt_18 | score_ge_25 | momentum_fail | ohlcv_missing,OHLCV cache старше времени входа; свечной анализ пропущен.
SOL/USDT,LONG,79.3,0.0,78.7818391224609,80.3363217550782,2026-07-10T09:43:35.516982,2026-07-10T14:25:09.698071,4ч 41м,,,,INCOMPLETE,exit_price отсутствует или некорректен,0.0,100.0,29.0,24.0,LONG,HIGH PRIORITY,A,29.0,Недостаточно OHLCV,0.0,0.0,False,False,False,0.0,False,0,,,,,,LONG | symbol=SOL/USDT | quality_A | confidence_ge_95 | edge_gt_18 | score_ge_25 | risk_fail | ohlcv_missing,OHLCV cache старше времени входа; свечной анализ пропущен.
ADA/USDT,SHORT,0.1687,0.1712,0.17022618227206632,0.16564763545586733,2026-07-10T09:43:39.768892,2026-07-11T18:23:55.146447,1д 8ч 40м,-0.0,-1.48192057,-1.63807433,COMPLETE,,0.0,100.0,25.0,17.0,SHORT,SETUP,B,25.0,Недостаточно OHLCV,0.0,0.0,False,False,False,0.0,False,0,,,,,,SHORT | symbol=ADA/USDT | quality_B | confidence_ge_95 | score_ge_25 | momentum_fail | ohlcv_missing,OHLCV cache старше времени входа; свечной анализ пропущен.
SOL/USDT,LONG,78.19,0.0,77.57212138578095,79.42575722843809,2026-07-10T15:46:03.005194,2026-07-12T00:11:38.152420,1д 8ч 25м,,,,INCOMPLETE,exit_price отсутствует или некорректен,0.0,100.0,25.0,23.0,LONG,SETUP,B,25.0,Недостаточно OHLCV,0.0,0.0,False,False,False,0.0,False,0,,,,,,LONG | symbol=SOL/USDT | quality_B | confidence_ge_95 | edge_gt_18 | score_ge_25 | risk_fail | ohlcv_missing,OHLCV cache старше времени входа; свечной анализ пропущен.
AVAX/USDT,SHORT,6.459,6.632,6.508793691864534,6.359412616270929,2026-07-12T19:15:22.757539,2026-07-13T11:44:02.431891,16ч 28м,-0.17,-2.67843319,-3.47433567,COMPLETE,,0.0,100.0,25.0,18.0,SHORT,SETUP,B,25.0,Недостаточно OHLCV,0.0,0.0,False,False,False,0.0,False,0,,,,,,SHORT | symbol=AVAX/USDT | quality_B | confidence_ge_95 | score_ge_25 | momentum_fail | ohlcv_missing,OHLCV cache старше времени входа; свечной анализ пропущен.
SOL/USDT,SHORT,75.57,76.17,76.09951263652991,74.51097472694018,2026-07-13T13:21:31.801087,2026-07-13T15:27:36.711691,2ч 6м,-0.6,-0.79396586,-1.13311743,COMPLETE,,0.0,100.0,29.0,22.0,SHORT,HIGH PRIORITY,A,29.0,Недостаточно OHLCV,0.0,0.0,False,False,False,0.0,False,0,,,,,,SHORT | symbol=SOL/USDT | quality_A | confidence_ge_95 | edge_gt_18 | score_ge_25 | structure_fail | risk_fail | ohlcv_missing,OHLCV cache старше времени входа; свечной анализ пропущен.
