pattern,loss_count,support_pct,examples,severity
SHORT,17,94.44,"BTC/USDT, ETH/USDT, ETH/USDT, BTC/USDT, ETH/USDT",HIGH
score_ge_25,17,94.44,"BTC/USDT, ETH/USDT, ETH/USDT, BTC/USDT, ETH/USDT",HIGH
momentum_fail,16,88.89,"BTC/USDT, ETH/USDT, ETH/USDT, BTC/USDT, ETH/USDT",HIGH
quality_B,13,72.22,"BTC/USDT, ETH/USDT, ETH/USDT, BTC/USDT, ETH/USDT",HIGH
confidence_ge_95,10,55.56,"ETH/USDT, BTC/USDT, ETH/USDT, BTC/USDT, ETH/USDT",MEDIUM
risk_fail,9,50.0,"SOL/USDT, ETH/USDT, BTC/USDT, ETH/USDT, BTC/USDT",MEDIUM
symbol=BTC/USDT,8,44.44,"BTC/USDT, BTC/USDT, BTC/USDT, BTC/USDT, BTC/USDT",MEDIUM
symbol=ETH/USDT,7,38.89,"ETH/USDT, ETH/USDT, ETH/USDT, ETH/USDT, ETH/USDT",LOW
false_breakout,5,27.78,"ETH/USDT, BTC/USDT, BTC/USDT, ETH/USDT, BTC/USDT",LOW
structure_fail,4,22.22,"ETH/USDT, ETH/USDT, ETH/USDT, BTC/USDT",LOW
edge_gt_18,4,22.22,"BTC/USDT, ETH/USDT, ETH/USDT, BTC/USDT",LOW
quality_A,4,22.22,"BTC/USDT, BTC/USDT, BTC/USDT, AVAX/USDT",LOW
ohlcv_missing,2,11.11,"ETH/USDT, AVAX/USDT",LOW
strong_pullback_before_entry,2,11.11,"BTC/USDT, BTC/USDT",LOW
immediate_reversal,1,5.56,BTC/USDT,LOW
LONG,1,5.56,SOL/USDT,LOW
symbol=SOL/USDT,1,5.56,SOL/USDT,LOW
quality_E,1,5.56,SOL/USDT,LOW
symbol=BNB/USDT,1,5.56,BNB/USDT,LOW
symbol=AVAX/USDT,1,5.56,AVAX/USDT,LOW
