timestamp,symbol,direction,confidence,weighted_score,long_score,short_score,diff,reason,near_setup_category
2026-06-28T17:16:55.780604+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-28T17:20:16.096715+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-28T18:01:08.065795+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T18:01:09.995024+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-28T18:06:14.421542+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-28T18:19:44.166075+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-28T18:24:49.582797+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-28T18:29:55.356652+00:00,SOL/USDT,LONG,86.0,20.0,20.0,8.0,12.0,No clear directional edge.,CLOSE
2026-06-28T18:35:01.032084+00:00,SOL/USDT,LONG,80.0,19.0,19.0,9.0,10.0,No clear directional edge.,MEDIUM
2026-06-28T18:40:05.015312+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T18:40:07.781861+00:00,SOL/USDT,LONG,80.0,19.0,19.0,9.0,10.0,No clear directional edge.,MEDIUM
2026-06-28T18:45:15.604839+00:00,SOL/USDT,LONG,80.0,19.0,19.0,9.0,10.0,No clear directional edge.,MEDIUM
2026-06-28T18:50:19.043059+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T18:50:20.958868+00:00,SOL/USDT,LONG,80.0,19.0,19.0,9.0,10.0,No clear directional edge.,MEDIUM
2026-06-28T18:55:25.169774+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T18:55:27.623775+00:00,SOL/USDT,LONG,80.0,19.0,19.0,9.0,10.0,No clear directional edge.,MEDIUM
2026-06-28T19:05:39.300124+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:10:44.480945+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:15:49.363234+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:20:54.773782+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:20:56.735368+00:00,SOL/USDT,LONG,74.0,20.0,20.0,12.0,8.0,No clear directional edge.,FAR
2026-06-28T19:26:00.345221+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:31:06.147280+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:36:11.515847+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:41:16.961742+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:41:18.989004+00:00,SOL/USDT,LONG,74.0,20.0,20.0,12.0,8.0,No clear directional edge.,FAR
2026-06-28T19:46:23.680743+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:46:26.391273+00:00,SOL/USDT,LONG,74.0,20.0,20.0,12.0,8.0,No clear directional edge.,FAR
2026-06-28T19:51:28.777442+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:51:29.904213+00:00,ETH/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:51:31.262075+00:00,SOL/USDT,LONG,80.0,22.0,22.0,12.0,10.0,No clear directional edge.,MEDIUM
2026-06-28T19:56:33.595761+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:56:35.342364+00:00,SOL/USDT,LONG,74.0,20.0,20.0,12.0,8.0,No clear directional edge.,FAR
2026-06-28T19:59:40.367045+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T19:59:41.922310+00:00,SOL/USDT,LONG,74.0,20.0,20.0,12.0,8.0,No clear directional edge.,FAR
2026-06-28T20:02:55.053916+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T20:03:56.505130+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T21:47:06.453498+00:00,SOL/USDT,LONG,62.0,19.0,19.0,15.0,4.0,No clear directional edge.,FAR
2026-06-28T21:54:19.102625+00:00,SOL/USDT,LONG,62.0,19.0,19.0,15.0,4.0,No clear directional edge.,FAR
