pattern,size,support,support_pct,wins,losses,win_confidence,loss_confidence,win_lift,loss_lift,avg_pnl,net_pnl
Risk=FAIL + sl_quality=B,2,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
confidence=80-90 + entry_quality=B,2,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + sl_quality=B,2,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + Risk=FAIL + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + confidence=80-90 + entry_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + confidence=80-90 + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Risk=FAIL + Trend=PASS + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + age=0-5m + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + direction=SHORT + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + entry_quality=B + symbol=BTC/USDT,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + local_trend=BEARISH + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + momentum_disagreement + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + potential_score=25-27 + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + quality=B + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + rr=1.5-2.2 + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + score=25-27 + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + signal=SETUP + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + sl_atr=normal + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + sl_quality=B + symbol=BTC/USDT,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + sl_quality=B + weighted_score=25-27,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Risk=FAIL + sl_quality=B + with_or_neutral_local_trend,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Structure=PASS + confidence=80-90 + entry_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Structure=PASS + confidence=80-90 + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Trend=PASS + confidence=80-90 + entry_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Trend=PASS + confidence=80-90 + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
age=0-5m + confidence=80-90 + entry_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
age=0-5m + confidence=80-90 + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + direction=SHORT + entry_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + direction=SHORT + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + entry_quality=B + local_trend=BEARISH,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + entry_quality=B + momentum_disagreement,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + entry_quality=B + rr=1.5-2.2,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + entry_quality=B + sl_atr=normal,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + entry_quality=B + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + entry_quality=B + with_or_neutral_local_trend,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + local_trend=BEARISH + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + momentum_disagreement + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + rr=1.5-2.2 + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + sl_atr=normal + sl_quality=B,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
confidence=80-90 + sl_quality=B + with_or_neutral_local_trend,3,2,10.0,2,0,1.0,0.0,6.6667,0.0,312.59,625.18
Momentum=FAIL + Risk=FAIL + Trend=PASS + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + age=0-5m + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + direction=SHORT + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + entry_quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + entry_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + local_trend=BEARISH + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + momentum_disagreement + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + potential_score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + quality=B + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + rr=1.5-2.2 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + score=25-27 + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + signal=SETUP + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + sl_atr=normal + sl_quality=B,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + sl_quality=B + symbol=BTC/USDT,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
Momentum=FAIL + Risk=FAIL + sl_quality=B + weighted_score=25-27,4,2,10.0,2,0,1.0,0.0,6.6667,0.0,715.2,1430.4
