symbol,direction,entry,stop_loss,take_profit,status,result,opened_at,closed_at,exit_price,pnl
BTC/USDT,SHORT,60312.5,60698.35652886378,59540.78694227244,LOSS,LOSS,2026-06-27T14:26:20.413799,2026-06-27T15:12:28.886189,60889.5,-577.0
ETH/USDT,SHORT,1581.31,1592.6903647678707,1558.5492704642586,LOSS,LOSS,2026-06-27T14:26:22.415892,2026-06-27T14:23:27.983657,,
SOL/USDT,LONG,71.73,70.97062200275049,73.24875599449904,LOSS,LOSS,2026-06-27T14:26:24.618466,2026-06-27T21:54:53.708641,,
ETH/USDT,SHORT,1578.43,1590.0128843862904,1555.2642312274195,LOSS,LOSS,2026-06-27T19:27:10.038503,2026-06-28T08:41:08.075663,1583.41,-11.73
BTC/USDT,SHORT,60091.8,60411.71542295299,59451.969154094026,LOSS,LOSS,2026-06-27T22:05:01.578303,2026-06-28T08:41:08.075061,60496.0,-404.2
ETH/USDT,SHORT,1575.51,1586.3556646170232,1553.8186707659536,LOSS,LOSS,2026-06-28T01:30:16.583295,2026-06-28T08:41:08.075663,1583.41,-11.73
BTC/USDT,SHORT,60212.8,60508.386839020146,59621.626321959724,LOSS,LOSS,2026-06-28T04:08:12.162651,2026-06-28T08:41:08.075061,60496.0,-404.2
ETH/USDT,SHORT,1571.68,1581.4235907116517,1552.1928185766967,LOSS,LOSS,2026-06-28T07:31:57.404947,2026-06-28T08:41:08.075663,1583.41,-11.73
BTC/USDT,SHORT,60193.1,60480.81069014031,59617.67861971938,WIN,WIN,2026-06-28T10:09:24.348272,2026-06-28T18:01:09.997989,59592.4,600.7
ETH/USDT,SHORT,1584.09,1593.644230480394,1564.9815390392116,WIN,WIN,2026-06-28T15:35:30.025277,2026-06-28T19:51:31.262980,1559.61,24.48
