symbol,direction,result,pnl,opened_at,closed_at,decision_time,baseline_signal,score,confidence,quality,primary_blocker,momentum_status,one_hour_ema_bullish,momentum_fail,conflict_rule_match,downgrade_one_step_signal,block_to_no_trade_signal,downgrade_prevented,block_prevented
BTC/USDT,SHORT,LOSS,-577.0,2026-06-27T14:26:20.413799,2026-06-27T15:12:28.886189,2026-06-27T14:23:26.433221+00:00,SETUP,26.0,66.7,B,,,False,True,False,SETUP,SETUP,False,False
ETH/USDT,SHORT,LOSS,-11.38036477,2026-06-27T14:26:22.415892,2026-06-27T14:23:27.983657,2026-06-27T14:23:27.253061+00:00,SETUP,26.0,66.7,B,,,False,True,False,SETUP,SETUP,False,False
SOL/USDT,LONG,LOSS,-0.759378,2026-06-27T14:26:24.618466,2026-06-27T21:54:53.708641,2026-06-27T13:24:00.690573+00:00,WATCH,24.0,63.2,C,,,True,False,False,WATCH,WATCH,False,False
ETH/USDT,SHORT,LOSS,-11.73,2026-06-27T19:27:10.038503,2026-06-28T08:41:08.075663,2026-06-27T19:27:10.034948+00:00,SETUP,26.0,70.3,B,,,False,True,False,SETUP,SETUP,False,False
BTC/USDT,SHORT,LOSS,-404.2,2026-06-27T22:05:01.578303,2026-06-28T08:41:08.075061,2026-06-27T22:05:01.575660+00:00,SETUP,26.0,76.5,B,,,False,True,False,SETUP,SETUP,False,False
ETH/USDT,SHORT,LOSS,-11.73,2026-06-28T01:30:16.583295,2026-06-28T08:41:08.075663,2026-06-28T01:30:16.580079+00:00,SETUP,26.0,74.3,B,,,False,True,False,SETUP,SETUP,False,False
BTC/USDT,SHORT,LOSS,-404.2,2026-06-28T04:08:12.162651,2026-06-28T08:41:08.075061,2026-06-28T04:08:12.159903+00:00,SETUP,26.0,81.2,B,,,False,True,False,SETUP,SETUP,False,False
ETH/USDT,SHORT,LOSS,-11.73,2026-06-28T07:31:57.404947,2026-06-28T08:41:08.075663,2026-06-28T07:31:57.401661+00:00,SETUP,26.0,70.3,B,,,False,True,False,SETUP,SETUP,False,False
BTC/USDT,SHORT,WIN,600.7,2026-06-28T10:09:24.348272,2026-06-28T18:01:09.997989,2026-06-28T10:09:24.344956+00:00,SETUP,25.0,89.3,B,,,False,True,False,SETUP,SETUP,False,False
ETH/USDT,SHORT,WIN,24.48,2026-06-28T15:35:30.025277,2026-06-28T19:51:31.262980,2026-06-28T15:35:30.022500+00:00,HIGH PRIORITY,28.0,80.0,A,,,False,True,False,HIGH PRIORITY,HIGH PRIORITY,False,False
ETH/USDT,SHORT,LOSS,-12.37,2026-06-28T21:36:55.672192,2026-06-29T03:10:02.924045,2026-06-28T21:36:55.671712+00:00,SETUP,25.0,100.0,B,,,False,True,False,SETUP,SETUP,False,False
BTC/USDT,SHORT,LOSS,-515.8,2026-06-28T23:10:42.619477,2026-06-28T23:41:18.223858,2026-06-28T23:10:42.616166+00:00,SETUP,26.0,98.0,B,,,False,True,False,SETUP,SETUP,False,False
ETH/USDT,SHORT,LOSS,-15.11,2026-06-29T03:40:36.306185,2026-06-29T12:19:37.386264,2026-06-29T03:40:36.303486+00:00,SETUP,26.0,100.0,B,,,False,True,False,SETUP,SETUP,False,False
BTC/USDT,SHORT,LOSS,-560.8,2026-06-29T05:47:02.594428,2026-06-29T12:09:26.529917,2026-06-29T05:47:02.591100+00:00,HIGH PRIORITY,27.0,100.0,A,,,False,True,False,HIGH PRIORITY,HIGH PRIORITY,False,False
ETH/USDT,SHORT,LOSS,-35.06,2026-06-29T15:56:52.344739,2026-06-29T17:13:19.049773,2026-06-29T15:56:52.341878+00:00,SETUP,26.0,100.0,B,,,False,True,False,SETUP,SETUP,False,False
BTC/USDT,SHORT,WIN,829.7,2026-06-30T08:58:08.989095,2026-06-30T13:02:31.781824,2026-06-30T08:58:08.988165+00:00,SETUP,26.0,95.0,B,,,False,True,False,SETUP,SETUP,False,False
BTC/USDT,SHORT,LOSS,-439.0,2026-06-30T14:59:39.773334,2026-07-01T01:45:47.918332,2026-06-30T14:59:39.769927+00:00,HIGH PRIORITY,29.0,100.0,A,,,False,True,False,HIGH PRIORITY,HIGH PRIORITY,False,False
BTC/USDT,SHORT,LOSS,-761.0,2026-07-01T03:01:58.877010,2026-07-01T14:12:54.424314,2026-07-01T03:01:58.873515+00:00,HIGH PRIORITY,30.0,100.0,A,,,False,False,False,HIGH PRIORITY,HIGH PRIORITY,False,False
BTC/USDT,SHORT,LOSS,-730.0,2026-07-01T15:24:02.821700,2026-07-01T22:21:37.322014,2026-07-01T15:24:02.818010+00:00,SETUP,26.0,95.0,B,,,False,True,False,SETUP,SETUP,False,False
BNB/USDT,SHORT,LOSS,-4.9,2026-07-02T15:34:55.567557,2026-07-03T15:09:00.592930,2026-07-02T15:34:55.566671+00:00,SETUP,26.0,98.0,B,Momentum,FAIL,True,True,True,WATCH,NO TRADE,True,True
